id,date,valid_time,location_longitude,location_latitude,danger_rating,danger_problem,involved_sum,involved_dead,involved_injured,involved_uninjured,involved_swept,involved_buried_total,involved_buried_partial,involved_not_buried,avalanche_extent_length,avalanche_extent_width,avalanche_breakheight,avalanche_type,avalanche_size,location_elevation,location_slope_angle,location_aspect,location_name,location_subregion,involved_standard_equipment,involved_avd_activated,involved_equipment_airbag,involved_ascent_descent,avalanche_artificial_release,avalanche_humidity,weather_temp,weather_snow_depth,weather_temp_mean,weather_temp_diff,weather_rain_sum,weather_snow_sum,weather_wind_speed_mean,weather_wind_dir_mean,weather_radiation_sum,week_day
9354,2018-02-17 11:34:00,True,11.98533,47.27433,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2513.0,35.0,SE,Katzenkopf,Westl. Kitzbüheler Alpen,,,,,,,-1.072,1.62,-11.436062,12.231251,0.4,15.330001,1.7658089,236.02218646826307,30.59,5
9355,2018-02-17 12:42:00,True,10.512,47.04033,3.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,slab,,3001.0,22.0,SE,Furglerscharte,Samnaungruppe,,,,,,,-5.52,1.73,-13.941355,11.135417,0.099999994,11.830001,2.1702154,239.1695649585616,27.33,5
9347,2018-02-16 09:58:00,True,10.1715,46.88017,3.0,,2.0,0.0,1.0,1.0,2.0,0.0,0.0,,,,,,,2150.0,40.0,NW,Jamtalhütte,Silvretta,,,,,,,-5.2380004,2.12,-13.038,9.93125,0.0,9.17,1.7892259,271.67224955811787,33.34,4
9370,2018-02-22 14:20:00,True,10.30706,47.10953,2.0,,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,450.0,100.0,40.0,slab,3.0,2650.0,40.0,SW,Hochkarspitze,Westl. Verwallgruppe,,,,,,,-11.348,2.03,-15.169874,-2.739584,0.0,1.26,1.9214525,140.1384336164933,45.429996,3
9371,2018-02-21 15:24:00,True,10.288,47.10217,2.0,,3.0,0.0,0.0,3.0,2.0,0.0,2.0,,250.0,120.0,30.0,slab,2.0,2600.0,40.0,SE,Hinteres Rendl,Westl. Verwallgruppe,,,,,,,-12.0075,2.05,-12.555938,-4.852083,0.0,2.5900002,1.9583228,328.4462026186112,40.35,2
9380,2018-02-24 13:25:00,True,11.57036,47.10619,2.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,150.0,30.0,15.0,slab,3.0,2400.0,35.0,NE,Scheibenspitze,Westl. Tuxer Alpen,,,,,,,-5.1355,1.55,-11.64175,5.668751,0.0,2.31,1.7764503,96.655475435522,42.51,5
9373,2018-02-21 11:18:00,True,10.306,47.10917,3.0,,3.0,1.0,0.0,2.0,3.0,1.0,2.0,,,,,slab,3.0,2700.0,35.0,SW,Hochkarspitze,Westl. Verwallgruppe,,,,,,,-13.220501,2.05,-13.8689375,-4.8520823,0.0,2.5900002,1.9583228,328.4462026186112,40.35,2
9348,2018-02-16 11:20:00,True,12.14483,47.30417,3.0,,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,slab,,1834.0,19.0,E,Schwebekopf,Westl. Kitzbüheler Alpen,,,,,,,-2.2665,1.58,-9.5665,9.116668,0.4,13.51,1.8010515,232.6479910560068,29.210001,4
9374,2018-02-22 15:34:00,True,10.99233,47.2075,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,slab,,2200.0,30.0,NW,Hochwanner,Nördl. Ötztaler- & Stubaier Alpen,,,,,,,-8.682,1.7,-10.675229,-2.2000008,0.0,2.4499998,1.7500217,39.374722338613694,38.690002,3
9382,2018-02-24 00:00:00,False,12.11602,47.31589,2.0,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,slab,,2400.0,52.0,NW,Schafsieder,Westl. Kitzbüheler Alpen,,,,,,,-13.165001,4.19,-13.371251,0.64583397,0.0,4.13,2.1803758,51.05159325309999,36.27,5
9368,2018-02-19 13:45:00,True,11.5905,47.119,3.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,slab,3.0,2244.0,35.0,NW,Hohe Warte,Westl. Tuxer Alpen,,,,,,,-6.2855,1.7,-6.9693546,-5.600001,0.0,9.31,2.320158,285.0517158779591,34.43,0
9383,2018-02-24 13:00:00,True,12.40944,46.7069,2.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,slab,,2490.0,35.0,NW,Hochgruben,Lienzer Dolomiten,,,,,,,-4.3615003,1.29,-11.757333,5.560416,0.2,4.97,2.2789898,31.692446579074343,39.5,5
9385,2018-02-24 13:00:00,True,12.44948,46.6917,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,300.0,50.0,20.0,slab,,2400.0,35.0,N,Demut / Hollbruckertal,Lienzer Dolomiten,,,,,,,-3.7505002,1.29,-11.146334,5.560416,0.2,4.97,2.2789898,31.692446579074343,39.5,5
9390,2018-03-01 15:00:00,True,12.11964,47.31754,3.0,,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,15.0,slab,2.0,2235.0,35.0,N,Manzenkar,Westl. Kitzbüheler Alpen,,,,,,,-5.3529997,4.17,-19.804562,10.666666,0.0,1.7500002,2.779785,80.55026503303628,48.030003,3
9391,2018-03-02 20:28:00,True,10.316,47.06317,3.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,slab,,2298.0,24.0,NE,Niederelbehütte,Östl. Verwallgruppe,,,,,,,-8.391,1.97,-16.280584,16.297918,0.10000001,4.41,2.297772,155.37774678695064,50.53,4
9393,2018-03-03 10:00:00,True,11.13263,47.07125,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,25.0,slab,2.0,2450.0,30.0,E,Wildes Hinterbergl,Nördl. Ötztaler- & Stubaier Alpen,,,,,,,-7.3575,1.75,-13.628855,12.485416,0.0,2.1700003,2.8422573,216.8928756598084,55.230003,5
9398,2018-03-08 11:44:00,True,10.47641,47.46968,3.0,,3.0,0.0,0.0,3.0,0.0,0.0,1.0,,,,,slab,,2219.0,45.0,SE,Gaishorn,Allgäuer Alpen,,,,,,,-3.393,1.63,-5.442479,-1.7145834,0.0,8.049999,3.3388348,220.54104362005225,43.81,3
9271,2017-12-21 10:03:00,True,10.97817,46.945,2.0,,,,,,,,,,,,,slab,2.0,2549.0,27.0,NE,Weißkamm,Weißkugelgruppe,,,,,,,-7.8434997,1.24,-13.510166,7.5916653,0.0,3.3600001,3.0551987,314.50119663549293,20.79,3
9369,2018-02-19 13:58:00,True,10.97133,47.169,3.0,,2.0,0.0,0.0,2.0,2.0,1.0,1.0,,,120.0,,slab,3.0,2600.0,35.0,SE,Hochreichkopf,Nördl. Ötztaler- & Stubaier Alpen,,,,,,,-11.8205,1.9,-10.480916,-5.5395827,0.099999994,11.690001,2.0799556,270.2432920214812,33.41,0
